,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__estimator,param_classifier__estimator__max_depth,param_classifier__estimator__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,174.48919410705565,9.787740126641399,2.7429617404937745,0.6010361796600198,"XGBClassifier(max_depth=20, n_estimators=150)",5,100,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 5, 'classifier__estimator__n_estimators': 100}",0.7716329966329967,0.7711279461279461,0.7700336700336701,0.7675084175084175,0.7745791245791246,0.7709764309764309,0.0022956198338108234,16
1,261.37870388031007,16.156551467720178,2.932328796386719,0.3751739187102704,"XGBClassifier(max_depth=20, n_estimators=150)",5,150,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 5, 'classifier__estimator__n_estimators': 150}",0.777020202020202,0.7785353535353535,0.776010101010101,0.7727272727272727,0.7814814814814814,0.7771548821548822,0.0028829689841137667,15
2,351.51618828773496,22.356325882953975,2.566246175765991,0.6983546296625494,"XGBClassifier(max_depth=20, n_estimators=150)",5,200,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 5, 'classifier__estimator__n_estimators': 200}",0.7803030303030303,0.7812289562289563,0.7787037037037037,0.7781986531986532,0.7836700336700336,0.7804208754208755,0.0019550376826779625,14
3,414.2582983970642,29.493306589448974,2.5525343894958494,0.7960318905963207,"XGBClassifier(max_depth=20, n_estimators=150)",5,250,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 5, 'classifier__estimator__n_estimators': 250}",0.7831649831649832,0.7845959595959596,0.781986531986532,0.7818181818181819,0.7859427609427609,0.7835016835016836,0.0015747716274301013,13
4,357.0864026546478,24.706914085820934,2.3123783111572265,0.5683081000469773,"XGBClassifier(max_depth=20, n_estimators=150)",10,100,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 10, 'classifier__estimator__n_estimators': 100}",0.802020202020202,0.8014309764309764,0.7997474747474748,0.7955387205387205,0.8000841750841751,0.7997643097643098,0.0022726649199577174,12
5,535.9145310878754,31.89913316839909,3.2616155624389647,0.6970604754318392,"XGBClassifier(max_depth=20, n_estimators=150)",10,150,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 10, 'classifier__estimator__n_estimators': 150}",0.8058922558922559,0.8043771043771044,0.8037878787878788,0.7983164983164983,0.8028619528619528,0.8030471380471381,0.0025622431051859473,11
6,731.8950043678284,82.48996639022405,2.9127292156219484,0.641726409338863,"XGBClassifier(max_depth=20, n_estimators=150)",10,200,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 10, 'classifier__estimator__n_estimators': 200}",0.8074074074074075,0.8063973063973064,0.805050505050505,0.8008417508417508,0.8057239057239057,0.8050841750841752,0.0022596581462037395,10
7,812.0572325706482,60.82130620624038,3.824869251251221,0.83745866234918,"XGBClassifier(max_depth=20, n_estimators=150)",10,250,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 10, 'classifier__estimator__n_estimators': 250}",0.8096801346801347,0.8082491582491582,0.8067340067340067,0.8028619528619528,0.8058922558922559,0.8066835016835018,0.002309283259189531,9
8,588.3571231365204,30.721829010255473,3.5234258651733397,0.562776852405851,"XGBClassifier(max_depth=20, n_estimators=150)",15,100,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 15, 'classifier__estimator__n_estimators': 100}",0.8158249158249158,0.8107744107744108,0.813047138047138,0.80993265993266,0.80993265993266,0.8119023569023568,0.0022684209108015194,8
9,795.1247770786285,88.56369193203473,2.936980962753296,0.09162020392266061,"XGBClassifier(max_depth=20, n_estimators=150)",15,150,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 15, 'classifier__estimator__n_estimators': 150}",0.8163299663299664,0.813047138047138,0.8135521885521886,0.8114478114478114,0.8102693602693603,0.8129292929292928,0.0020608976268713304,7
10,1036.2097364902497,68.49027848320281,4.204763889312744,0.6930987364016666,"XGBClassifier(max_depth=20, n_estimators=150)",15,200,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 15, 'classifier__estimator__n_estimators': 200}",0.8168350168350168,0.8136363636363636,0.8141414141414142,0.8122053872053872,0.8104377104377104,0.8134511784511785,0.002125750049517125,6
11,1281.2878206253051,71.04555314560294,5.400519943237304,0.07140709508808646,"XGBClassifier(max_depth=20, n_estimators=150)",15,250,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 15, 'classifier__estimator__n_estimators': 250}",0.8177609427609428,0.8142255892255892,0.814983164983165,0.8116161616161616,0.8111111111111111,0.8139393939393941,0.002415458271782314,4
12,806.0046906948089,51.84833292312664,3.497012186050415,0.753147455869861,"XGBClassifier(max_depth=20, n_estimators=150)",20,100,"{'classifier__estimator': XGBClassifier(max_depth=20, n_estimators=150), 'classifier__estimator__max_depth': 20, 'classifier__estimator__n_estimators': 100}",0.8194444444444444,0.8141414141414142,0.8146464646464646,0.8106060606060606,0.8106902356902357,0.8139057239057239,0.003240642352785206,5
